number,student_answer
1,B
2,G
3,A
4,H
5,D
6,F
7,A
8,F
9,A
10,F
11,C
12,H
13,D
14,E
15,B
16,H
17,B
18,F
19,A
20,E
21,C
22,F
23,A
24,E
25,C
26,F
27,C
28,H
29,B
30,G
31,B
32,F
33,C
34,H
35,D
36,F
37,B
38,G
39,C
40,E
41,A
42,G
43,C
44,G
45,C
46,E
47,C
48,F
49,C
50,E
51,C
52,F
53,C
54,F
55,D
56,G
57,A
58,3250
59,144
60,22
61,1265
62,3552
63,B
64,F
65,B
66,G
67,C
68,H
69,D
70,F
71,B
72,F
73,C
74,G
75,A
76,F
77,D
78,F
79,C
80,F
81,C
82,H
83,B
84,E
85,D
86,G
87,C
88,F
89,C
90,E
91,B
92,H
93,B
94,H
95,A
96,F
97,D
98,F
99,A
100,G
101,B
102,G
103,D
104,H
105,A
106,F
107,B
108,G
109,D
110,F
111,B
112,G
113,B
114,H
